Fe(acac)3 -- vibronic analysis
TPSSh / def2-TZVP(Fe,O) def2-SVP(C,H) / SMD(water) / TDA, ORCA 6
Ground state: 123 real modes, 0 imaginary


====================================================================================================
ROOT 15   E = 2.918 eV = 424.8 nm
====================================================================================================

A. FRANCK-CONDON ACTIVITY  (excited-state gradient projected on ground-state modes)
   total reorganisation energy = 2543.7 cm-1 = 0.3154 eV
   gradient unaccounted for by the vibrations = 0.155 %

 mode  freq/cm-1        grad/au        displ          S_k  lambda/cm-1    RR(rel)
   82    1346.79   -1.868703e-7       0.0004      0.00000         0.00     0.0000
   83    1348.40    1.614668e-7      -0.0003      0.00000         0.00     0.0000
   84    1370.23    4.467522e-6      -0.0091      0.00004         0.06     0.0002
   85    1370.27    1.382995e-6      -0.0028      0.00000         0.01     0.0000
   86    1370.63   -1.731914e-7       0.0004      0.00000         0.00     0.0000
   87    1373.62   -9.014378e-8       0.0002      0.00000         0.00     0.0000
   88    1373.66    1.105749e-5      -0.0223      0.00025         0.34     0.0013
   89    1373.93    3.787569e-5      -0.0765      0.00292         4.02     0.0150
   90    1442.12   -6.446627e-7       0.0012      0.00000         0.00     0.0000
   91    1442.18    2.023526e-5      -0.0380      0.00072         1.04     0.0041
   92    1442.25   -2.259129e-5       0.0424      0.00090         1.30     0.0051
   93    1442.30   -7.450834e-7       0.0014      0.00000         0.00     0.0000
   94    1442.38   -4.378806e-6       0.0082      0.00003         0.05     0.0002
   95    1442.40   -3.748295e-6       0.0070      0.00002         0.04     0.0001
   96    1442.81   -1.503210e-5       0.0282      0.00040         0.57     0.0023
   97    1442.82    1.766041e-5      -0.0331      0.00055         0.79     0.0031
   98    1443.86    1.188951e-4      -0.2228      0.02482        35.84     0.1407
   99    1445.41    5.755163e-7      -0.0011      0.00000         0.00     0.0000
  100    1446.26   -1.709640e-5       0.0320      0.00051         0.74     0.0029
  101    1446.38    6.234320e-7      -0.0012      0.00000         0.00     0.0000
  102    1542.81   -6.941707e-5       0.1178      0.00694        10.70     0.0449
  103    1543.19    1.605512e-6      -0.0027      0.00000         0.01     0.0000
  104    1550.98   -8.600815e-5       0.1448      0.01048        16.26     0.0685
  105    1551.21   -1.255103e-5       0.0211      0.00022         0.35     0.0015
  106    1551.82    2.281159e-6      -0.0038      0.00001         0.01     0.0000
  107    1559.53    2.813613e-4      -0.4697      0.11033       172.05     0.7295
  108    3043.94    5.463384e-8      -0.0000      0.00000         0.00     0.0000
  109    3043.96   -4.558650e-8       0.0000      0.00000         0.00     0.0000
  110    3044.06    6.037935e-7      -0.0004      0.00000         0.00     0.0000
  111    3044.11   -3.243005e-6       0.0020      0.00000         0.01     0.0000
  112    3044.24   -7.891331e-7       0.0005      0.00000         0.00     0.0000
  113    3044.38    1.637641e-5      -0.0100      0.00005         0.15     0.0013
  114    3122.47   -1.041381e-6       0.0006      0.00000         0.00     0.0000
  115    3122.52   -9.865300e-7       0.0006      0.00000         0.00     0.0000
  116    3122.96   -4.554877e-7       0.0003      0.00000         0.00     0.0000
  117    3122.99   -2.329445e-7       0.0001      0.00000         0.00     0.0000
  118    3123.81   -6.305438e-7       0.0004      0.00000         0.00     0.0000
  119    3123.83    9.947377e-7      -0.0006      0.00000         0.00     0.0000
  120    3164.37   -8.906820e-7       0.0005      0.00000         0.00     0.0000
  121    3164.39   -1.812359e-6       0.0010      0.00000         0.00     0.0000
  122    3167.31    1.844834e-6      -0.0011      0.00000         0.00     0.0000
  123    3167.33    9.672704e-7      -0.0006      0.00000         0.00     0.0000
  124    3167.85   -1.314925e-6       0.0008      0.00000         0.00     0.0000
  125    3167.90    1.330163e-6      -0.0008      0.00000         0.00     0.0000
  126    3217.33    5.413357e-6      -0.0031      0.00000         0.01     0.0001
  127    3217.38   -9.819505e-6       0.0055      0.00002         0.05     0.0004
  128    3219.72    1.677541e-5      -0.0094      0.00004         0.14     0.0013

B. DUSCHINSKY MODE CORRESPONDENCE  (200-1800 cm-1 block)
   excited state: 117 real modes, 6 imaginary
   block: 79 ground-state x 78 excited-state modes
   mean participation = 4.551   (1.0 = modes preserved intact)
   modes with overlap > 0.7 : 7 of 78

